Year,deathCount,Vehicles (m),Vehicle Miles (b),Drivers (m),"Fatalities per 10,000 motor vehicles","Fatalities per 100,000,000 vehicle miles","Vehicles per 100,000 population"
1956,39628,65.2,631,77.9,6.07,6.28,23.7
1957,38702,67.6,647,79.6,5.73,5.98,22.7
1958,36981,68.8,665,81.5,5.37,5.56,21.3
1959,37910,72.1,700,84.5,5.26,5.41,21.5
1960,38137,74.5,719,87.4,5.12,5.31,21.2
1961,38091,76.4,738,88.9,4.98,5.16,20.8
1962,40804,79.7,767,92,5.12,5.32,22
1963,43564,83.5,805,93.7,5.22,5.41,23.1
1964,47700,87.3,847,95.6,5.46,5.63,25
1965,49163,91.8,888,99,5.36,5.54,25.4
1966,53041,95.9,930,101,5.53,5.7,27.1
1967,52924,98.9,962,103.2,5.35,5.5,26.8
1968,54862,103.1,1016,105.4,5.32,5.4,27.5
1969,55791,107.4,1071,108.3,5.19,5.21,27.7
1970,54633,111.2,1120,111.5,4.92,4.88,26.8
1971,54381,116.3,1186,114.4,4.68,4.57,26.3
1972,56278,122.3,1268,118.4,4.6,4.43,26.9
1973,55511,129.8,1309,121.6,4.28,4.24,26.3
1974,46402,134.9,1290,125.6,3.44,3.59,21.8
1975,45853,137.9,1330,129.8,3.33,3.45,21.3
1976,47038,143.5,1412,133.9,3.28,3.33,21.6
1977,49510,148.8,1477,138.1,3.33,3.35,22.5
1978,52411,153.6,1548,140.8,3.41,3.39,23.6
1979,53524,159.6,1529,143.3,3.35,3.5,23.8
1980,53172,161.6,1521,145.3,3.29,3.5,23.4
1981,51385,164.1,1556,147.1,3.13,3.3,22.4
1982,45779,165.2,1592,150.3,2.77,2.88,19.8
1983,44452,169.4,1657,154.2,2.62,2.68,19
1984,46263,171.8,1718,155.4,2.69,2.69,19.6
1985,45901,177.1,1774,156.9,2.59,2.59,19.3
1986,47865,181.4,1835,159.5,2.63,2.6,19.9
1987,48290,183.9,1924,161.8,2.63,2.51,19.9
1988,49078,189,2026,162.9,2.6,2.42,20.1
1989,47575,191.7,2107,165.6,2.48,2.26,19.3
1990,46814,192.9,2148,167,2.43,2.18,18.8
1991,43536,192.5,2172,169,2.26,2,17.3
1992,40982,194.4,2240,173.1,2.11,1.83,16.1
1993,41893,198,2297,173.1,2.12,1.82,16.3
1994,42524,201.8,2360,175.4,2.11,1.8,16.3
1995,43363,205.3,2423,176.6,2.11,1.79,16.5
1996,43649,210.4,2486,179.5,2.07,1.76,16.5
1997,43458,211.5,2562,182.7,2.05,1.7,16.2
1998,43501,215,2632,185.2,2.02,1.65,16.1
1999,42401,220.5,2691,187.2,1.92,1.58,15.5
2000,43354,225.8,2747,190.6,1.92,1.58,15.8
2001,43788,235.3,2797,191.3,1.86,1.57,15.4
2002,45380,234.6,2856,194.3,1.93,1.59,15.8
2003,44757,236.8,2890,196.2,1.89,1.55,15.4
2004,44933,243,2965,199,1.85,1.52,15.3
2005,45343,247.4,2989,200.5,1.83,1.52,15.3
2006,45316,250.8,3014,202.8,1.81,1.5,15.2
2007,43945,254.4,3032,205.7,1.73,1.45,14.6
2008,39790,255.9,2976,208.3,1.55,1.34,13.1
2009,36216,254.2,2957,209.6,1.42,1.22,11.8
2010,35332,250.3,2967,210.1,1.41,1.19,11.4
2011,35303,253.2,2950,211.9,1.39,1.2,11.3
2012,36415,253.6,2969,211.8,1.44,1.23,11.6
2016,40327,268.8,3174,221.7,1.5,1.27,12.48
2017,40231,272.5,3212,225.3,1.48,1.25,12.35
2018,39404,276.6,3240,227.6,1.42,1.22,12.04
2019,39107,276.5,3262,228.7,1.41,1.2,11.9
2020,42338,275.9,2904,228.2,1.53,1.46,12.85
